0	1	0
0.01	0.99995	-0.00999234
0.055	0.998492	-0.0547461
0.227501	0.974523	-0.221739
0.454991	0.900533	-0.424794
0.7174	0.762051	-0.623301
1.00872	0.55524	-0.7853
1.32963	0.285503	-0.88056
1.59688	0.0475552	-0.889426
1.86414	-0.184352	-0.836042
2.1314	-0.394316	-0.726568
2.39866	-0.568585	-0.570828
2.69297	-0.706476	-0.360996
3.00066	-0.780646	-0.119175
3.24688	-0.785907	0.0754605
3.4931	-0.744435	0.258569
3.73933	-0.660381	0.419726
4.01725	-0.5226	0.56438
4.32359	-0.332292	0.667583
4.62992	-0.120291	0.7054
4.8803	0.0549472	0.687199
5.13067	0.220363	0.62761
5.38105	0.366194	0.531804
5.65771	0.494746	0.392538
5.96306	0.587551	0.211971
6.26841	0.623069	0.0203189
6.49293	0.612053	-0.117263
6.71745	0.571189	-0.244499
6.97481	0.491571	-0.370005
7.26168	0.369294	-0.475869
7.57758	0.206914	-0.543084
7.85438	0.0537742	-0.556275
8.10241	-0.0819058	-0.532311
8.35044	-0.20771	-0.477241
8.59847	-0.31644	-0.395509
8.88297	-0.412572	-0.276586
9.19582	-0.476015	-0.126847
9.45703	-0.492201	0.00277341
9.68871	-0.478576	0.113679
9.92038	-0.440283	0.214826
10	-0.42191	0.246409
